R_B1,R_B2,R_B3,R_B4,R_B5,R_B6,R_B7,R_B8,G_B1,G_B2,G_B3,G_B4,G_B5,G_B6,G_B7,G_B8,B_B1,B_B2,B_B3,B_B4,B_B5,B_B6,B_B7,B_B8,BLB
0.154572043,3.09282963,0.447162612,0.666408602,0.975483868,0.102332554,11.00311456,427.2972853,0.154270968,3.152060095,0.489502161,0.683311828,0.990537635,-0.025628903,13.68758973,334.1927856,0.169124015,3.074194601,0.482747735,0.684917563,0.989390681,-0.198620221,11.684148,135.0556089,5
0.148937635,3.055305134,0.579566687,0.687483873,0.830107527,0.233097635,11.94473345,375.1495682,0.166606452,2.923745168,0.616890009,0.705505377,0.751397849,0.1324043,7.91623349,255.2172335,0.169909678,2.920171897,0.641039883,0.71065233,0.750394266,0.098719655,8.003725195,105.514558,5
0.191114591,2.915040764,0.484006157,0.692825621,0.885266903,-0.084469068,9.686880673,347.393995,0.162525268,2.981065087,0.442207049,0.673864769,0.936512457,-0.022531646,9.881267294,282.4189015,0.168569396,2.992660773,0.404030469,0.68458363,0.984768687,0.065819785,8.047765928,114.4954672,3
0.149102857,3.19218797,0.519835523,0.675600002,1.050285716,-0.327960685,15.76459261,409.2990424,0.138697143,3.225950751,0.451452707,0.653114286,1.123714287,-0.196916569,13.8044279,301.7174782,0.141202858,3.207134908,0.442459174,0.651914286,1.106571431,-0.232431084,13.60906257,123.225941,3
0.144698917,3.142486708,0.408797114,0.665068592,0.908303251,0.751637724,16.82248164,410.45936,0.175309748,2.982976282,0.450626041,0.698888089,0.813285197,0.872407802,15.41142094,290.9289672,0.191428159,2.881215882,0.498260614,0.715148016,0.74368231,0.775807533,14.44286581,113.2261516,5
0.202187986,2.805982923,0.708207774,0.735250885,0.674346288,0.139075848,11.94845244,334.8185677,0.198693994,2.807557136,0.728653817,0.740791519,0.700918729,0.127194907,14.62108999,246.4250889,0.217908128,2.660060661,0.799845136,0.76073498,0.594204949,0.457350785,9.228831584,94.73978243,3
0.129518021,3.275211368,0.40314946,0.626176681,1.178798586,-0.078284441,15.64406535,579.7297654,0.142187986,3.221595927,0.470472709,0.654826856,1.011590106,0.047118021,15.61020082,435.4428698,0.14143887,3.207718821,0.475996223,0.654374561,1.008763253,0.003765377,15.25762625,206.6665998,3
0.199037723,2.799416165,0.63600771,0.734562279,0.715017796,0.469949041,11.29600098,474.2961399,0.198889681,2.798853937,0.622196353,0.725779359,0.703202848,0.100483639,11.46377842,368.0097757,0.20458363,2.786293759,0.566055256,0.722918149,0.75231317,0.393246062,10.79594085,143.8603304,5
0.200879716,2.801111194,0.734442589,0.756740211,0.612241992,-0.35899627,16.61226737,517.269845,0.175493239,2.95062829,0.752252497,0.732327402,0.688398578,0.033658079,16.61539273,421.4660115,0.195479004,2.787798805,0.82098975,0.752854093,0.627188611,0.181071714,12.05343464,158.3178307,5
0.157824114,3.066820247,0.501008133,0.68987234,0.876595744,-0.421724589,18.87934201,443.7458546,0.177021277,2.938207437,0.575208091,0.707971631,0.756312059,-0.309574802,15.86077676,315.7997097,0.179259575,2.917895032,0.585295732,0.71053567,0.785106384,-0.349298387,11.29362261,114.0723712,5
